"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:7157","Lifenet Insurance","7157","03/15/2012","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3966660007","B4KN6D1","43,619,303,424","JPY","Analyze"
"JT:6284","Nissei Asb Machine Co., Ltd","6284","09/26/2012","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3678200001","6644974","43,445,366,784","JPY","Analyze"
"JT:8057","Uchida Yoko Co., Ltd","8057","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3157200001","6910965","43,045,441,536","JPY","Analyze"
"JT:8068","Ryoyo Electro Corporation","8068","12/11/1986","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3976600001","6763415","41,932,062,720","JPY","Analyze"
"JT:4514","ASKA Pharmaceutical Co., Ltd","4514","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3541200006","6880820","41,672,253,440","JPY","Analyze"
"JT:9692","Computer Engineering & Consulting, Ltd","9692","11/20/1990","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3346200003","6215314","41,568,432,128","JPY","Analyze"
"JT:8793","NEC Capital Solutions Limited","8793","02/10/2005","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3164740007","B05KJP2","41,290,174,464","JPY","Analyze"
"JT:8237","Matsuya Co., Ltd","8237","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3869200000","6572741","41,251,397,632","JPY","Analyze"
"JT:6145","Nittoku Engineering Co., Ltd","6145","02/01/1989","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3684700002","6646248","40,777,670,656","JPY","Analyze"
"JT:6277","Hosokawa Micron Corporation","6277","08/13/1991","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3846000002","6439879","40,112,324,608","JPY","Analyze"
"JT:8219","Aoyama Trading Co., Ltd","8219","12/14/1990","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3106200003","6045878","39,669,481,472","JPY","Analyze"
"JT:6143","Sodick Co., Ltd","6143","02/20/1986","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3434200006","6818832","39,623,892,992","JPY","Analyze"
"JT:7600","Japan Medical Dynamic Marketing In","7600","12/15/1998","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3689100000","6136705","39,417,544,704","JPY","Analyze"
"JT:8159","Tachibana Eletech Co. Ltd","8159","03/04/2004","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3466600008","6869777","38,266,908,672","JPY","Analyze"
"JT:9743","Tanseisha Co., Ltd","9743","03/18/1987","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3472200009","6871932","38,153,617,408","JPY","Analyze"
"JT:8043","Starzen Company Limited","8043","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3399100001","6989404","38,030,704,640","JPY","Analyze"
"JT:8217","Okuwa Co., Ltd","8217","03/07/2001","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3172150009","6657950","37,755,281,408","JPY","Analyze"
"JT:5949","Unipres Corporation","5949","02/28/1990","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3952550006","6985695","37,686,034,432","JPY","Analyze"
"JT:8281","Xebio Holdings Co., Ltd","8281","04/11/1988","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3428800001","6984948","37,580,201,984","JPY","Analyze"
"JT:8008","Yondoshi Holdings Inc","8008","07/24/1985","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3119950008","6897552","37,057,273,856","JPY","Analyze"
"JT:6945","Fujitsu Frontech Limited","6945","03/01/1988","Global Equity","Common stocks","Developed markets ex-US","Unknown","JP3818200002","6357261","36,829,900,800","JPY","Analyze"
"JT:8890","Raysum Co., Ltd","8890","04/06/2001","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3979100009","6335892","36,654,800,896","JPY","Analyze"
"JT:8132","Sinanen Holdings Co Ltd","8132","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Energy","JP3354000006","6804529","36,161,368,064","JPY","Analyze"
"JT:9470","Gakken Holdings Co., Ltd","9470","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3234200008","6359739","35,947,683,840","JPY","Analyze"
"JT:7172","Japan Investment Adviser Co., Ltd","7172","09/12/2014","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3389470000","BQ25C20","35,836,481,536","JPY","Analyze"
"JT:8084","Ryoden Corporation","8084","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Unknown","JP3976200000","6763006","35,792,764,928","JPY","Analyze"
"JT:5912","OSJB Holdings Corporation","5912","11/25/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3697600009","6470599","35,617,247,232","JPY","Analyze"
"JT:3341","Nihon Chouzai Co.,Ltd","3341","09/17/2004","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3729200000","B02KKT6","35,594,567,680","JPY","Analyze"
