Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
ACHETER-LOUER.FR;ALXP;EURONEXT GROWTH FR;FR0010493510;ALALOp;EUR;SA;EQ;110.945;60.000;30. Sep 19;;N
AUPLATA MINING GROUP;ALXP;EURONEXT GROWTH FR;FR0013410370;ALAMGp;EUR;SA;EQ;230.203;60.000;10. Jul 19;;N
ANTEVENIO;ALXP;EURONEXT GROWTH FR;ES0109429037;ALANTp;EUR;SA;EQ;12.748;15.000;30. Sep 19;;N
ANEVIA SA;ALXP;EURONEXT GROWTH FR;FR0011910652;ALANVp;EUR;SA;EQ;6.559;15.000;30. Sep 19;;N
ADEUNIS RF SACA;ALXP;EURONEXT GROWTH FR;FR0013284627;ALARFp;EUR;SA;EQ;12.179;15.000;30. Sep 19;;N
ARTEFACT SA;ALXP;EURONEXT GROWTH FR;FR0000079683;ALATFp;EUR;SA;EQ;135.400;60.000;30. Sep 19;;N
AUDIOVALLEY SA;ALXP;EURONEXT GROWTH FR;BE0974334667;ALAVYp;EUR;SA;EQ;11.155;15.000;30. Sep 19;;N
SIDETRADE;ALXP;EURONEXT GROWTH FR;FR0010202606;ALBFRp;EUR;SA;EQ;59.846;30.000;30. Sep 19;;N
BIOSYNEX;ALXP;EURONEXT GROWTH FR;FR0011005933;ALBIOp;EUR;SA;EQ;27.615;15.000;30. Sep 19;;N
GASCOGNE;ALXP;EURONEXT GROWTH FR;FR0000124414;ALBIp;EUR;SA;EQ;7.979;15.000;30. Sep 19;;N
BAIKOWSKI SAS;ALXP;EURONEXT GROWTH FR;FR0013384369;ALBKKp;EUR;SA;EQ;17.306;15.000;01. Apr 19;;N
BILENDI;ALXP;EURONEXT GROWTH FR;FR0004174233;ALBLDp;EUR;SA;EQ;60.320;30.000;30. Sep 19;;N
